year,annotate,actual_spending,expected_spending,value_annotation
2010,True,6911645518951.403,,6.91 trillion
2011,True,7108931616517.932,,7.11 trillion
2012,True,7315890456270.417,,7.32 trillion
2013,True,7496999942972.14,,7.5 trillion
2014,True,7780545290226.067,,7.78 trillion
2015,True,8135196096225.525,,8.14 trillion
2016,True,8403399520440.688,,8.4 trillion
2017,True,8621416299360.049,,8.62 trillion
2018,True,8852013317851.918,,8.85 trillion
2019,,,9157211544274.627,nan trillion
2019,True,9157211544274.627,,9.16 trillion
2020,,,9506129656499.62,nan trillion
2020,True,9817396976854.19,,9.82 trillion
2021,,,9868342629114.154,nan trillion
2021,True,10008555589431.955,,10.01 trillion
2022,,,10244357037462.375,nan trillion
2022,True,9843924068865.97,,9.84 trillion
